((54, 'wilting_point_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 1.0000000000000002)
((10, 'pressure_reduced_to_msl_msl'), (27, 'soil_porosity_surface'), 0.00047082773715224912)
((10, 'pressure_reduced_to_msl_msl'), (18, 'land_cover_land1_sea0_surface'), 0.00047082773715224912)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (23, 'ice_cover_ice1_no_ice0_surface'), 0.00043923440859079942)
((4, 'drag_coefficient_surface'), (10, 'pressure_reduced_to_msl_msl'), 0.00042270514619753146)
((16, 'total_cloud_cover_entire_atmosphere'), (26, 'transpiration_stress-onset_soil_moisture_surface'), 0.00040636731829314584)
((31, 'planetary_boundary_layer_height_surface'), (37, 'v-component_of_wind_maximum_wind'), 0.00040194145112561831)
((4, 'drag_coefficient_surface'), (36, 'plant_canopy_surface_water_surface'), 0.00039892705337022424)
((16, 'total_cloud_cover_entire_atmosphere'), (19, 'vegitation_type_as_in_sib_surface'), 0.00037197356709179718)
((5, 'sensible_heat_net_flux_surface'), (36, 'plant_canopy_surface_water_surface'), 0.00032082477508594014)
((16, 'total_cloud_cover_entire_atmosphere'), (24, 'convective_inhibition_surface'), 0.0003158397101705394)
((16, 'total_cloud_cover_entire_atmosphere'), (32, 'soil_type_as_in_zobler_surface'), 0.00031375814389236317)
((16, 'total_cloud_cover_entire_atmosphere'), (42, 'geopotential_height_surface'), 0.00028800070923095641)
((4, 'drag_coefficient_surface'), (51, 'v-component_of_wind_tropopause'), 0.00027665477617441915)
((4, 'drag_coefficient_surface'), (37, 'v-component_of_wind_maximum_wind'), 0.00025819645624389144)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (28, 'vegetation_surface'), 0.00023098601593027213)
((4, 'drag_coefficient_surface'), (31, 'planetary_boundary_layer_height_surface'), 0.00021988836457434536)
((4, 'drag_coefficient_surface'), (47, 'temperature_tropopause'), 0.00019125408300012321)
((4, 'drag_coefficient_surface'), (39, 'mean_sea_level_pressure_nam_model_reduction_msl'), 0.00019016884819525955)
((4, 'drag_coefficient_surface'), (16, 'total_cloud_cover_entire_atmosphere'), 0.00018674775926513223)
((16, 'total_cloud_cover_entire_atmosphere'), (54, 'wilting_point_surface'), 0.00015029159364969487)
((16, 'total_cloud_cover_entire_atmosphere'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.00015029159364969487)
((5, 'sensible_heat_net_flux_surface'), (43, 'convective_available_potential_energy_surface'), 0.00014166002227909954)
((36, 'plant_canopy_surface_water_surface'), (44, 'latent_heat_net_flux_surface'), 0.0001324779403951928)
((4, 'drag_coefficient_surface'), (20, 'v-component_of_wind_pblri'), 6.4194363235991702e-05)
((5, 'sensible_heat_net_flux_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 4.5069768013530537e-05)
((5, 'sensible_heat_net_flux_surface'), (54, 'wilting_point_surface'), 4.5069768013530537e-05)
((8, 'number_of_soil_layers_in_root_zone_surface'), (10, 'pressure_reduced_to_msl_msl'), 3.97615406659871e-05)
((4, 'drag_coefficient_surface'), (9, 'categorical_freezing_rain_yes1_no0_surface'), 2.5277377715655252e-06)
((4, 'drag_coefficient_surface'), (6, 'categorical_ice_pellets_yes1_no0_surface'), -5.8656637331825013e-05)
((4, 'drag_coefficient_surface'), (29, 'categorical_rain_yes1_no0_surface'), -9.2185376851238108e-05)
((4, 'drag_coefficient_surface'), (56, 'u-component_of_wind_pblri'), -9.4011907621901103e-05)
((20, 'v-component_of_wind_pblri'), (46, 'pressure_maximum_wind'), -9.9103961577454695e-05)
((5, 'sensible_heat_net_flux_surface'), (42, 'geopotential_height_surface'), -0.00010075730790721874)
((4, 'drag_coefficient_surface'), (46, 'pressure_maximum_wind'), -0.00011215643917776469)
((5, 'sensible_heat_net_flux_surface'), (32, 'soil_type_as_in_zobler_surface'), -0.00012136494770885451)
((16, 'total_cloud_cover_entire_atmosphere'), (43, 'convective_available_potential_energy_surface'), -0.00013506414103630414)
((4, 'drag_coefficient_surface'), (55, 'precipitable_water_entire_atmosphere'), -0.00017653957916804187)
((4, 'drag_coefficient_surface'), (5, 'sensible_heat_net_flux_surface'), -0.00017950360237044133)
((4, 'drag_coefficient_surface'), (44, 'latent_heat_net_flux_surface'), -0.00018202525244490417)
((5, 'sensible_heat_net_flux_surface'), (26, 'transpiration_stress-onset_soil_moisture_surface'), -0.00019129606019116011)
((31, 'planetary_boundary_layer_height_surface'), (36, 'plant_canopy_surface_water_surface'), -0.00021438169316150094)
((5, 'sensible_heat_net_flux_surface'), (19, 'vegitation_type_as_in_sib_surface'), -0.00022535957785625483)
((24, 'convective_inhibition_surface'), (44, 'latent_heat_net_flux_surface'), -0.00025262656662420946)
((5, 'sensible_heat_net_flux_surface'), (24, 'convective_inhibition_surface'), -0.00026011400152514723)
((4, 'drag_coefficient_surface'), (43, 'convective_available_potential_energy_surface'), -0.00026975461703582562)
((5, 'sensible_heat_net_flux_surface'), (18, 'land_cover_land1_sea0_surface'), -0.00028757350973127261)
((5, 'sensible_heat_net_flux_surface'), (27, 'soil_porosity_surface'), -0.00028757350973127261)
((20, 'v-component_of_wind_pblri'), (41, 'snow_cover_surface'), -0.00030268304199464587)
((31, 'planetary_boundary_layer_height_surface'), (51, 'v-component_of_wind_tropopause'), -0.00031007463314043637)
((5, 'sensible_heat_net_flux_surface'), (8, 'number_of_soil_layers_in_root_zone_surface'), -0.00032935811355922049)
((4, 'drag_coefficient_surface'), (33, 'geopotential_height_cloud_base'), -0.00035708237085587129)
((4, 'drag_coefficient_surface'), (49, 'pressure_tropopause'), -0.00036064320066056364)
((4, 'drag_coefficient_surface'), (13, 'categorical_snow_yes1_no0_surface'), -0.0003640370472741387)
((4, 'drag_coefficient_surface'), (12, 'relative_humidity_zerodegc_isotherm'), -0.00042277250446899216)
((16, 'total_cloud_cover_entire_atmosphere'), (36, 'plant_canopy_surface_water_surface'), -0.00043192664317492099)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (9, 'categorical_freezing_rain_yes1_no0_surface'), -0.00045801898621690039)
((5, 'sensible_heat_net_flux_surface'), (45, 'surface_roughness_surface'), -0.00046052116410494245)
((3, 'water_equiv_of_accum_snow_depth_surface'), (4, 'drag_coefficient_surface'), -0.00052062530303756242)
((44, 'latent_heat_net_flux_surface'), (54, 'wilting_point_surface'), -0.00053271532899160502)
((44, 'latent_heat_net_flux_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), -0.00053271532899160502)
((31, 'planetary_boundary_layer_height_surface'), (43, 'convective_available_potential_energy_surface'), -0.00054419999341359443)
((42, 'geopotential_height_surface'), (44, 'latent_heat_net_flux_surface'), -0.00059179273201710302)
((4, 'drag_coefficient_surface'), (23, 'ice_cover_ice1_no_ice0_surface'), -0.0005944665301328225)
((10, 'pressure_reduced_to_msl_msl'), (19, 'vegitation_type_as_in_sib_surface'), -0.00060140416621968704)
((4, 'drag_coefficient_surface'), (50, 'snow_depth_surface'), -0.0006342032337245541)
((33, 'geopotential_height_cloud_base'), (42, 'geopotential_height_surface'), -0.00066328004233113711)
((29, 'categorical_rain_yes1_no0_surface'), (38, 'geopotential_height_zerodegc_isotherm'), -0.00067376141637803116)
((4, 'drag_coefficient_surface'), (24, 'convective_inhibition_surface'), -0.00067562371990493664)
((32, 'soil_type_as_in_zobler_surface'), (44, 'latent_heat_net_flux_surface'), -0.00067913592005054767)
((19, 'vegitation_type_as_in_sib_surface'), (44, 'latent_heat_net_flux_surface'), -0.00070464659818269626)
((4, 'drag_coefficient_surface'), (41, 'snow_cover_surface'), -0.0007304148950271124)
((44, 'latent_heat_net_flux_surface'), (45, 'surface_roughness_surface'), -0.00083058978113287015)
((26, 'transpiration_stress-onset_soil_moisture_surface'), (44, 'latent_heat_net_flux_surface'), -0.00085526302827287242)
((5, 'sensible_heat_net_flux_surface'), (6, 'categorical_ice_pellets_yes1_no0_surface'), -0.00085832057905532732)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (39, 'mean_sea_level_pressure_nam_model_reduction_msl'), -0.00086595105978355018)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (44, 'latent_heat_net_flux_surface'), -0.0008729719040403202)
((27, 'soil_porosity_surface'), (44, 'latent_heat_net_flux_surface'), -0.00096577704673792204)
((18, 'land_cover_land1_sea0_surface'), (44, 'latent_heat_net_flux_surface'), -0.00096577704673792204)
((4, 'drag_coefficient_surface'), (14, 'u-component_of_wind_tropopause'), -0.00097435880533849916)
((8, 'number_of_soil_layers_in_root_zone_surface'), (44, 'latent_heat_net_flux_surface'), -0.00098109628349597289)
((16, 'total_cloud_cover_entire_atmosphere'), (37, 'v-component_of_wind_maximum_wind'), -0.0010414876372206042)
((4, 'drag_coefficient_surface'), (35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), -0.0010707104598773696)
((4, 'drag_coefficient_surface'), (53, 'u-component_of_wind_maximum_wind'), -0.0012556882392141138)
((5, 'sensible_heat_net_flux_surface'), (9, 'categorical_freezing_rain_yes1_no0_surface'), -0.0013055983080573312)
((19, 'vegitation_type_as_in_sib_surface'), (37, 'v-component_of_wind_maximum_wind'), -0.0013207681921231118)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (44, 'latent_heat_net_flux_surface'), -0.0013232930553668872)
((16, 'total_cloud_cover_entire_atmosphere'), (25, 'pressure_surface'), -0.0013602371466611147)
((25, 'pressure_surface'), (52, 'downward_short_wave_rad_flux_surface'), -0.00157545371035644)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (10, 'pressure_reduced_to_msl_msl'), -0.001613300216199707)
((23, 'ice_cover_ice1_no_ice0_surface'), (37, 'v-component_of_wind_maximum_wind'), -0.0017468350287784204)
((16, 'total_cloud_cover_entire_atmosphere'), (51, 'v-component_of_wind_tropopause'), -0.0017554607203394185)
((16, 'total_cloud_cover_entire_atmosphere'), (48, 'geopotential_height_pblri'), -0.0018896177040804828)
((10, 'pressure_reduced_to_msl_msl'), (11, 'upward_short_wave_rad_flux_surface'), -0.0020764827650501605)
((20, 'v-component_of_wind_pblri'), (38, 'geopotential_height_zerodegc_isotherm'), -0.0022240164689638852)
((4, 'drag_coefficient_surface'), (25, 'pressure_surface'), -0.002284146730838061)
((23, 'ice_cover_ice1_no_ice0_surface'), (51, 'v-component_of_wind_tropopause'), -0.0023213781088065287)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (46, 'pressure_maximum_wind'), -0.0023662020928531401)
((25, 'pressure_surface'), (37, 'v-component_of_wind_maximum_wind'), -0.0023875791366714631)
((28, 'vegetation_surface'), (31, 'planetary_boundary_layer_height_surface'), -0.0025603953253778024)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (22, 'lightning_surface'), -0.0025829742855714957)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (25, 'pressure_surface'), -0.0026482380055317689)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (48, 'geopotential_height_pblri'), -0.0026957457608171196)
((14, 'u-component_of_wind_tropopause'), (23, 'ice_cover_ice1_no_ice0_surface'), -0.0027423134834365969)
((5, 'sensible_heat_net_flux_surface'), (46, 'pressure_maximum_wind'), -0.0027839853150551769)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (13, 'categorical_snow_yes1_no0_surface'), -0.0029370657663470062)
((44, 'latent_heat_net_flux_surface'), (46, 'pressure_maximum_wind'), -0.002948143330058885)
((22, 'lightning_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), -0.0029813052309527323)
((22, 'lightning_surface'), (54, 'wilting_point_surface'), -0.0029813052309527323)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (22, 'lightning_surface'), -0.0031876005823227474)
((11, 'upward_short_wave_rad_flux_surface'), (13, 'categorical_snow_yes1_no0_surface'), -0.0035019758896086802)
((8, 'number_of_soil_layers_in_root_zone_surface'), (22, 'lightning_surface'), -0.0037589907272540797)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (11, 'upward_short_wave_rad_flux_surface'), -0.0038177694565143029)
((5, 'sensible_heat_net_flux_surface'), (47, 'temperature_tropopause'), -0.004183917992590218)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (55, 'precipitable_water_entire_atmosphere'), -0.0043416231757780208)
((20, 'v-component_of_wind_pblri'), (31, 'planetary_boundary_layer_height_surface'), -0.0043901222820024247)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (13, 'categorical_snow_yes1_no0_surface'), -0.0044024322655107561)
((22, 'lightning_surface'), (26, 'transpiration_stress-onset_soil_moisture_surface'), -0.0045061334786118722)
((16, 'total_cloud_cover_entire_atmosphere'), (20, 'v-component_of_wind_pblri'), -0.0045649529889834634)
((25, 'pressure_surface'), (31, 'planetary_boundary_layer_height_surface'), -0.0046003479881775288)
((44, 'latent_heat_net_flux_surface'), (47, 'temperature_tropopause'), -0.0046775616584077548)
((18, 'land_cover_land1_sea0_surface'), (22, 'lightning_surface'), -0.0048917261070488939)
((22, 'lightning_surface'), (27, 'soil_porosity_surface'), -0.0048917261070488939)
((4, 'drag_coefficient_surface'), (15, 'surface_wind_gust_surface'), -0.004907512869035598)
((16, 'total_cloud_cover_entire_atmosphere'), (28, 'vegetation_surface'), -0.005103465386461903)
((5, 'sensible_heat_net_flux_surface'), (56, 'u-component_of_wind_pblri'), -0.0053317694008934591)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (29, 'categorical_rain_yes1_no0_surface'), -0.0054483316542643483)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (11, 'upward_short_wave_rad_flux_surface'), -0.0054828825241768327)
((44, 'latent_heat_net_flux_surface'), (56, 'u-component_of_wind_pblri'), -0.0056009112676663857)
((10, 'pressure_reduced_to_msl_msl'), (32, 'soil_type_as_in_zobler_surface'), -0.005602832597350076)
((19, 'vegitation_type_as_in_sib_surface'), (35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), -0.0057505965159818026)
((8, 'number_of_soil_layers_in_root_zone_surface'), (29, 'categorical_rain_yes1_no0_surface'), -0.0060257732514586056)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (28, 'vegetation_surface'), -0.006149477038259593)
((37, 'v-component_of_wind_maximum_wind'), (46, 'pressure_maximum_wind'), -0.0064629331904930733)
((15, 'surface_wind_gust_surface'), (41, 'snow_cover_surface'), -0.0064838537606115298)
((16, 'total_cloud_cover_entire_atmosphere'), (39, 'mean_sea_level_pressure_nam_model_reduction_msl'), -0.0065033934444806377)
((31, 'planetary_boundary_layer_height_surface'), (40, 'temperature_surface'), -0.0065331322159741592)
((5, 'sensible_heat_net_flux_surface'), (23, 'ice_cover_ice1_no_ice0_surface'), -0.006576997865688188)
((10, 'pressure_reduced_to_msl_msl'), (16, 'total_cloud_cover_entire_atmosphere'), -0.0066631415739787257)
((23, 'ice_cover_ice1_no_ice0_surface'), (44, 'latent_heat_net_flux_surface'), -0.0066973401729965827)
((28, 'vegetation_surface'), (35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), -0.0069030182431545723)
((11, 'upward_short_wave_rad_flux_surface'), (12, 'relative_humidity_zerodegc_isotherm'), -0.0069374334462324414)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (25, 'pressure_surface'), -0.0071394102734923968)
((3, 'water_equiv_of_accum_snow_depth_surface'), (5, 'sensible_heat_net_flux_surface'), -0.0071685653756601428)
((3, 'water_equiv_of_accum_snow_depth_surface'), (44, 'latent_heat_net_flux_surface'), -0.0073498515348425315)
((5, 'sensible_heat_net_flux_surface'), (21, 'albedo_surface'), -0.007813987826432953)
((5, 'sensible_heat_net_flux_surface'), (50, 'snow_depth_surface'), -0.0079641560597745291)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (55, 'precipitable_water_entire_atmosphere'), -0.0080199894480646391)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (29, 'categorical_rain_yes1_no0_surface'), -0.0081666237585716669)
((44, 'latent_heat_net_flux_surface'), (50, 'snow_depth_surface'), -0.0081833746998228318)
((5, 'sensible_heat_net_flux_surface'), (13, 'categorical_snow_yes1_no0_surface'), -0.0082501653841317978)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (20, 'v-component_of_wind_pblri'), -0.008272862529903998)
((21, 'albedo_surface'), (44, 'latent_heat_net_flux_surface'), -0.0082938309223298829)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (43, 'convective_available_potential_energy_surface'), -0.00835755980652385)
((13, 'categorical_snow_yes1_no0_surface'), (44, 'latent_heat_net_flux_surface'), -0.0084160198768003305)
((15, 'surface_wind_gust_surface'), (50, 'snow_depth_surface'), -0.0084246731336131593)
((17, 'upward_long_wave_rad_flux_surface'), (20, 'v-component_of_wind_pblri'), -0.0085711605469092709)
((28, 'vegetation_surface'), (46, 'pressure_maximum_wind'), -0.0086504581997915147)
((5, 'sensible_heat_net_flux_surface'), (49, 'pressure_tropopause'), -0.0087618224410551462)
((25, 'pressure_surface'), (33, 'geopotential_height_cloud_base'), -0.008919863979390227)
((22, 'lightning_surface'), (44, 'latent_heat_net_flux_surface'), -0.0091588347691748742)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (30, 'downward_long_wave_rad_flux_surface'), -0.0092271667034001421)
((44, 'latent_heat_net_flux_surface'), (49, 'pressure_tropopause'), -0.0092636841453376702)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (52, 'downward_short_wave_rad_flux_surface'), -0.0093256088943236438)
((5, 'sensible_heat_net_flux_surface'), (22, 'lightning_surface'), -0.0093336445142029375)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (30, 'downward_long_wave_rad_flux_surface'), -0.0094008290088974586)
((22, 'lightning_surface'), (46, 'pressure_maximum_wind'), -0.0096017710716179306)
((19, 'vegitation_type_as_in_sib_surface'), (51, 'v-component_of_wind_tropopause'), -0.0098174131316049826)
((5, 'sensible_heat_net_flux_surface'), (41, 'snow_cover_surface'), -0.010072337165504078)
((41, 'snow_cover_surface'), (44, 'latent_heat_net_flux_surface'), -0.010410260349234602)
((10, 'pressure_reduced_to_msl_msl'), (31, 'planetary_boundary_layer_height_surface'), -0.010794677026632605)
((37, 'v-component_of_wind_maximum_wind'), (45, 'surface_roughness_surface'), -0.011073928034194349)
((31, 'planetary_boundary_layer_height_surface'), (39, 'mean_sea_level_pressure_nam_model_reduction_msl'), -0.011093889624786059)
((3, 'water_equiv_of_accum_snow_depth_surface'), (15, 'surface_wind_gust_surface'), -0.011176429545151549)
((37, 'v-component_of_wind_maximum_wind'), (49, 'pressure_tropopause'), -0.011291439952060622)
((16, 'total_cloud_cover_entire_atmosphere'), (40, 'temperature_surface'), -0.011385673349758565)
((46, 'pressure_maximum_wind'), (51, 'v-component_of_wind_tropopause'), -0.011392133297520061)
((13, 'categorical_snow_yes1_no0_surface'), (48, 'geopotential_height_pblri'), -0.011431281998278005)
((28, 'vegetation_surface'), (33, 'geopotential_height_cloud_base'), -0.011596431068340031)
((5, 'sensible_heat_net_flux_surface'), (14, 'u-component_of_wind_tropopause'), -0.011825766632746842)
((2, 'geopotential_height_lltw'), (31, 'planetary_boundary_layer_height_surface'), -0.011892012604945969)
((14, 'u-component_of_wind_tropopause'), (44, 'latent_heat_net_flux_surface'), -0.011898341932923778)
((26, 'transpiration_stress-onset_soil_moisture_surface'), (29, 'categorical_rain_yes1_no0_surface'), -0.011951682126561988)
((18, 'land_cover_land1_sea0_surface'), (29, 'categorical_rain_yes1_no0_surface'), -0.011993871623869961)
((27, 'soil_porosity_surface'), (29, 'categorical_rain_yes1_no0_surface'), -0.011993871623869961)
((29, 'categorical_rain_yes1_no0_surface'), (32, 'soil_type_as_in_zobler_surface'), -0.012212905137178834)
((29, 'categorical_rain_yes1_no0_surface'), (54, 'wilting_point_surface'), -0.012342078149757024)
((29, 'categorical_rain_yes1_no0_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), -0.012342078149757024)
((35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), (48, 'geopotential_height_pblri'), -0.012535429781598611)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (43, 'convective_available_potential_energy_surface'), -0.012736774395635935)
((3, 'water_equiv_of_accum_snow_depth_surface'), (37, 'v-component_of_wind_maximum_wind'), -0.012745042232986533)
((23, 'ice_cover_ice1_no_ice0_surface'), (53, 'u-component_of_wind_maximum_wind'), -0.012755902313839216)
((2, 'geopotential_height_lltw'), (16, 'total_cloud_cover_entire_atmosphere'), -0.013362733493937145)
((44, 'latent_heat_net_flux_surface'), (53, 'u-component_of_wind_maximum_wind'), -0.013414742227933651)
((5, 'sensible_heat_net_flux_surface'), (53, 'u-component_of_wind_maximum_wind'), -0.013416021687616519)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (48, 'geopotential_height_pblri'), -0.013664322682144233)
((19, 'vegitation_type_as_in_sib_surface'), (22, 'lightning_surface'), -0.0136662178725007)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (39, 'mean_sea_level_pressure_nam_model_reduction_msl'), -0.013667324520708617)
((25, 'pressure_surface'), (53, 'u-component_of_wind_maximum_wind'), -0.013845376592717581)
((19, 'vegitation_type_as_in_sib_surface'), (52, 'downward_short_wave_rad_flux_surface'), -0.014112290611756275)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (56, 'u-component_of_wind_pblri'), -0.014290771515906256)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (52, 'downward_short_wave_rad_flux_surface'), -0.014317946693052587)
((49, 'pressure_tropopause'), (51, 'v-component_of_wind_tropopause'), -0.014318350469757893)
((33, 'geopotential_height_cloud_base'), (45, 'surface_roughness_surface'), -0.015028449235382827)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (10, 'pressure_reduced_to_msl_msl'), -0.015126438287967021)
((32, 'soil_type_as_in_zobler_surface'), (52, 'downward_short_wave_rad_flux_surface'), -0.015307868094466085)
((29, 'categorical_rain_yes1_no0_surface'), (44, 'latent_heat_net_flux_surface'), -0.015314354169355284)
((5, 'sensible_heat_net_flux_surface'), (29, 'categorical_rain_yes1_no0_surface'), -0.015394327411922763)
((16, 'total_cloud_cover_entire_atmosphere'), (55, 'precipitable_water_entire_atmosphere'), -0.015424914209347454)
((3, 'water_equiv_of_accum_snow_depth_surface'), (51, 'v-component_of_wind_tropopause'), -0.015586343144155537)
((20, 'v-component_of_wind_pblri'), (40, 'temperature_surface'), -0.015940522679475731)
((24, 'convective_inhibition_surface'), (42, 'geopotential_height_surface'), -0.016325044212523593)
((47, 'temperature_tropopause'), (48, 'geopotential_height_pblri'), -0.016593056244723566)
((2, 'geopotential_height_lltw'), (25, 'pressure_surface'), -0.016675899266103866)
((31, 'planetary_boundary_layer_height_surface'), (55, 'precipitable_water_entire_atmosphere'), -0.016794997648016338)
((8, 'number_of_soil_layers_in_root_zone_surface'), (24, 'convective_inhibition_surface'), -0.017453099411672134)
((20, 'v-component_of_wind_pblri'), (23, 'ice_cover_ice1_no_ice0_surface'), -0.01756729773539642)
((24, 'convective_inhibition_surface'), (37, 'v-component_of_wind_maximum_wind'), -0.018177333120676195)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (56, 'u-component_of_wind_pblri'), -0.018436197669720669)
((15, 'surface_wind_gust_surface'), (44, 'latent_heat_net_flux_surface'), -0.019030006683344994)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (17, 'upward_long_wave_rad_flux_surface'), -0.019031715749129586)
((7, 'visibility_surface'), (31, 'planetary_boundary_layer_height_surface'), -0.019106261542788334)
((5, 'sensible_heat_net_flux_surface'), (15, 'surface_wind_gust_surface'), -0.019371861211331071)
((7, 'visibility_surface'), (16, 'total_cloud_cover_entire_atmosphere'), -0.019444485246628115)
((52, 'downward_short_wave_rad_flux_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), -0.019446477838827681)
((52, 'downward_short_wave_rad_flux_surface'), (54, 'wilting_point_surface'), -0.019446477838827681)
((27, 'soil_porosity_surface'), (37, 'v-component_of_wind_maximum_wind'), -0.019565014115877234)
((18, 'land_cover_land1_sea0_surface'), (37, 'v-component_of_wind_maximum_wind'), -0.019565014115877234)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (40, 'temperature_surface'), -0.019744976511588311)
((2, 'geopotential_height_lltw'), (6, 'categorical_ice_pellets_yes1_no0_surface'), -0.019763965508935211)
((13, 'categorical_snow_yes1_no0_surface'), (20, 'v-component_of_wind_pblri'), -0.019803138444662482)
((51, 'v-component_of_wind_tropopause'), (52, 'downward_short_wave_rad_flux_surface'), -0.020646840937976682)
((45, 'surface_roughness_surface'), (51, 'v-component_of_wind_tropopause'), -0.020731635545614916)
((23, 'ice_cover_ice1_no_ice0_surface'), (52, 'downward_short_wave_rad_flux_surface'), -0.02083001678127884)
((8, 'number_of_soil_layers_in_root_zone_surface'), (37, 'v-component_of_wind_maximum_wind'), -0.021043606257396919)
((37, 'v-component_of_wind_maximum_wind'), (52, 'downward_short_wave_rad_flux_surface'), -0.021088855717933334)
((33, 'geopotential_height_cloud_base'), (46, 'pressure_maximum_wind'), -0.021557641790154181)
((11, 'upward_short_wave_rad_flux_surface'), (39, 'mean_sea_level_pressure_nam_model_reduction_msl'), -0.02169683673866743)
((26, 'transpiration_stress-onset_soil_moisture_surface'), (37, 'v-component_of_wind_maximum_wind'), -0.02176540896222956)
((7, 'visibility_surface'), (53, 'u-component_of_wind_maximum_wind'), -0.02374367672736025)
((22, 'lightning_surface'), (49, 'pressure_tropopause'), -0.023822697075459507)
((14, 'u-component_of_wind_tropopause'), (25, 'pressure_surface'), -0.023931482057599995)
((25, 'pressure_surface'), (46, 'pressure_maximum_wind'), -0.024124022698222371)
((24, 'convective_inhibition_surface'), (51, 'v-component_of_wind_tropopause'), -0.024133496304015279)
((19, 'vegitation_type_as_in_sib_surface'), (29, 'categorical_rain_yes1_no0_surface'), -0.024519669271448937)
((5, 'sensible_heat_net_flux_surface'), (11, 'upward_short_wave_rad_flux_surface'), -0.02460114847595981)
((11, 'upward_short_wave_rad_flux_surface'), (44, 'latent_heat_net_flux_surface'), -0.025007696011355132)
((2, 'geopotential_height_lltw'), (9, 'categorical_freezing_rain_yes1_no0_surface'), -0.025066773166783459)
((3, 'water_equiv_of_accum_snow_depth_surface'), (33, 'geopotential_height_cloud_base'), -0.025368176083685908)
((46, 'pressure_maximum_wind'), (52, 'downward_short_wave_rad_flux_surface'), -0.025521605089187341)
((26, 'transpiration_stress-onset_soil_moisture_surface'), (52, 'downward_short_wave_rad_flux_surface'), -0.025903499906767474)
((45, 'surface_roughness_surface'), (48, 'geopotential_height_pblri'), -0.025973107062579579)
((52, 'downward_short_wave_rad_flux_surface'), (56, 'u-component_of_wind_pblri'), -0.026348215714059545)
((37, 'v-component_of_wind_maximum_wind'), (54, 'wilting_point_surface'), -0.02638431679125669)
((37, 'v-component_of_wind_maximum_wind'), (57, 'direct_evaporation_cease_soil_moisture_surface'), -0.02638431679125669)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (17, 'upward_long_wave_rad_flux_surface'), -0.026740220310198976)
((22, 'lightning_surface'), (47, 'temperature_tropopause'), -0.026781866097057516)
((18, 'land_cover_land1_sea0_surface'), (52, 'downward_short_wave_rad_flux_surface'), -0.026805155591886894)
((27, 'soil_porosity_surface'), (52, 'downward_short_wave_rad_flux_surface'), -0.026805155591886894)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (40, 'temperature_surface'), -0.027053614436236145)
((32, 'soil_type_as_in_zobler_surface'), (48, 'geopotential_height_pblri'), -0.028011153689767601)
((22, 'lightning_surface'), (23, 'ice_cover_ice1_no_ice0_surface'), -0.028222621986383142)
((11, 'upward_short_wave_rad_flux_surface'), (14, 'u-component_of_wind_tropopause'), -0.0283451994506747)
